                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3368,                0.78036,                 1.0477,                0.72858,                0.55043,                0.62587,                0.34905,                 1.2966,                0.70427,                 1.0238,               0.006634,               0.006634,               0.006634
                     36,                  1.332,                0.77629,                 1.0454,                0.71451,                0.56143,                0.62963,                0.35029,                 1.2966,                0.70737,                 1.0234,               0.006535,               0.006535,               0.006535
                     37,                 1.3308,                0.77224,                 1.0467,                0.81986,                 0.5576,                0.63096,                0.35159,                 1.2956,                0.70907,                 1.0228,               0.006436,               0.006436,               0.006436
                     38,                  1.324,                0.76836,                 1.0422,                0.81405,                0.55943,                0.63352,                0.35347,                 1.2922,                0.70891,                 1.0211,               0.006337,               0.006337,               0.006337
                     39,                 1.3285,                0.76915,                 1.0429,                0.81316,                0.56198,                0.63411,                0.35413,                 1.2895,                0.70921,                 1.0198,               0.006238,               0.006238,               0.006238
                     40,                 1.3168,                 0.7611,                 1.0413,                0.82913,                0.55681,                0.63407,                0.35463,                 1.2878,                0.69895,                 1.0194,               0.006139,               0.006139,               0.006139
                     41,                 1.3189,                0.76639,                 1.0396,                0.82931,                0.56366,                0.63612,                0.35687,                 1.2864,                0.69143,                 1.0187,                0.00604,                0.00604,                0.00604
                     42,                 1.3162,                0.76162,                 1.0387,                0.82707,                0.56387,                0.63735,                0.35738,                 1.2851,                0.68934,                 1.0179,               0.005941,               0.005941,               0.005941
                     43,                 1.3116,                0.75895,                 1.0394,                0.83428,                0.56381,                0.64401,                0.35989,                 1.2833,                0.68866,                 1.0169,               0.005842,               0.005842,               0.005842
                     44,                 1.3107,                0.75531,                 1.0381,                0.83374,                0.56425,                0.64466,                0.36092,                 1.2816,                0.68854,                 1.0161,               0.005743,               0.005743,               0.005743
                     45,                 1.3063,                0.75279,                 1.0356,                0.82444,                0.56932,                0.64116,                0.36166,                 1.2802,                0.68843,                 1.0156,               0.005644,               0.005644,               0.005644
                     46,                 1.3011,                0.74994,                 1.0357,                0.84136,                0.56654,                0.64375,                0.36232,                 1.2782,                0.68596,                 1.0151,               0.005545,               0.005545,               0.005545
                     47,                 1.3042,                0.74883,                 1.0368,                0.84031,                0.56814,                0.64999,                0.36504,                 1.2765,                0.68198,                 1.0146,               0.005446,               0.005446,               0.005446
                     48,                 1.3021,                0.74649,                 1.0349,                0.83807,                 0.5691,                0.65086,                0.36585,                 1.2751,                0.68017,                 1.0143,               0.005347,               0.005347,               0.005347
                     49,                 1.3004,                0.74548,                 1.0326,                0.83387,                0.57239,                0.65208,                0.36652,                 1.2741,                0.67898,                 1.0139,               0.005248,               0.005248,               0.005248
                     50,                 1.2955,                0.74077,                 1.0313,                 0.8337,                0.57399,                0.65349,                0.36773,                 1.2734,                0.67762,                 1.0135,               0.005149,               0.005149,               0.005149
                     51,                 1.2933,                0.74039,                 1.0313,                 0.8354,                0.57335,                0.65375,                0.36871,                 1.2721,                0.67722,                 1.0131,                0.00505,                0.00505,                0.00505
                     52,                 1.2906,                0.74039,                 1.0296,                0.83212,                0.57699,                0.65772,                0.37084,                 1.2713,                0.67665,                 1.0126,               0.004951,               0.004951,               0.004951
                     53,                 1.2925,                0.73697,                  1.029,                0.83567,                0.57515,                0.66227,                0.37437,                   1.27,                0.67525,                 1.0122,               0.004852,               0.004852,               0.004852
                     54,                 1.2863,                0.73049,                 1.0271,                0.83226,                0.57929,                0.66206,                0.37509,                  1.269,                0.67327,                 1.0117,               0.004753,               0.004753,               0.004753
                     55,                 1.2828,                0.73273,                 1.0271,                0.83742,                0.57596,                0.66068,                0.37448,                 1.2682,                0.67125,                 1.0112,               0.004654,               0.004654,               0.004654
                     56,                 1.2789,                0.72741,                 1.0254,                0.83848,                0.57543,                0.66064,                0.37429,                 1.2675,                0.66966,                 1.0108,               0.004555,               0.004555,               0.004555
                     57,                 1.2781,                0.72463,                 1.0232,                0.82122,                0.58388,                0.66275,                0.37626,                 1.2668,                 0.6686,                 1.0106,               0.004456,               0.004456,               0.004456
                     58,                 1.2773,                0.72444,                 1.0243,                0.82226,                0.58429,                0.66285,                0.37646,                 1.2665,                0.66763,                 1.0104,               0.004357,               0.004357,               0.004357
